situation,emotion,dialogues
I showed a guy how to run a good bead in welding class and he caught on quick.,proud,"Customer :it's quite strange that you didnt imagine it
Agent : i dont imagine feeling a lot, maybe your on to something"
I have always been loyal to my wife.,faithful,"Customer :I have never cheated on my wife.
Agent : And thats something you should never do, good on you."
I have always been loyal to my wife.,faithful,"Customer :Yea it hasn't been easy but I am proud I haven't
Agent : What do you mean it hasn't been easy? How close have you come to cheating?"
I have always been loyal to my wife.,faithful,"Customer :And thats something you should never do, good on you. 
Agent : Yea it hasn't been easy but I am proud I haven't"
A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,terrified,"Customer :Job interviews always make me sweat bullets, makes me uncomfortable in general to be looked at under a microscope like that. 
Agent : Don't be nervous. Just be prepared."
A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,terrified,"Customer :I feel like getting prepared and then having a curve ball thrown at you throws you off. 
Agent : Yes but if you stay calm it will be ok."
A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,terrified,"Customer :Don't be nervous. Just be prepared.
Agent : I feel like getting prepared and then having a curve ball thrown at you throws you off."
A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,terrified,"Customer :Yes but if you stay calm it will be ok.
Agent : It's hard to stay clam. How do you do it?"
I am very happy to have been first over 300 students during this years at my enginering school,joyful,"Customer :Hi, this year, I was the first over 300 students at my enginering school
Agent : Sounds great! So what's your major?"
I am very happy to have been first over 300 students during this years at my enginering school,joyful,"Customer :It is computer science. I am very happy of this achievement and my family is very proud.
Agent : Well pleased. You should be having brains,man!That's a tough course,i hear."
I am very happy to have been first over 300 students during this years at my enginering school,joyful,"Customer :Sounds great! So what's your major?
Agent : It is computer science. I am very happy of this achievement and my family is very proud."
I once lost my job and got mad.,angry,"Customer :I lost my job last year and got really angry.
Agent : I am sorry to hear that. Did it happen out of the blue?"
I once lost my job and got mad.,angry,"Customer :Yes, it was a complete surprise.
Agent : I am sorry to hear that. I hope it turned out to be a blessing in decise."
I once lost my job and got mad.,angry,"Customer :I am sorry to hear that. Did it happen out of the blue?
Agent : Yes, it was a complete surprise."
"One year during christmas, i did not get a single gift. It was a rough day for me.",sad,"Customer :During christmas a few years ago, I did not get any presents.
Agent : Wow, that must be terrible, I cannot imagine, I lvoe christmas"
"One year during christmas, i did not get a single gift. It was a rough day for me.",sad,"Customer :Since that day christmas has not been a good time for me. As I have no family, christmas is always the worst.
Agent : Wow, I am sorry to hear that, I wish I could make it a better holiday for you!"
"One year during christmas, i did not get a single gift. It was a rough day for me.",sad,"Customer :Wow, that must be terrible, I cannot imagine, I lvoe christmas
Agent : Since that day christmas has not been a good time for me. As I have no family, christmas is always the worst."
"One year during christmas, i did not get a single gift. It was a rough day for me.",sad,"Customer :Wow, I am sorry to hear that, I wish I could make it a better holiday for you!
Agent : Some days are just days that you never forget. I wish you could as well."
"I was at work, and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home",jealous,"Customer :My coworker is allowed to work remotely, but I am not...
Agent : I work remotely, I wish that you could do something like that as well."
"I was at work, and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home",jealous,"Customer :I do too, it is unfortnuate because, unbiased, I am our best performer, so it is curious
Agent : Sometimes in life, it is not about performance. Some people just get a shiner spoon."
"I was at work, and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home",jealous,"Customer :I work remotely, I wish that you could do something like that as well.
Agent : I do too, it is unfortnuate because, unbiased, I am our best performer, so it is curious"
I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,grateful,"Customer :Hi, I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.
Agent : Thats a sweet man, I hope you acknowledged his kind gesture."
I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,grateful,"Customer :Yes, I did. I was so grateful because I have a lot of money in my wallet.
Agent : Their aren't that many well rounded people in the world these days so when you see one you should always show appreciation!"
I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,grateful,"Customer :Thats a sweet man, I hope you acknowledged his kind gesture. 
Agent : Yes, I did. I was so grateful because I have a lot of money in my wallet."
I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience.,sad,"Customer :People get rejected all the time but it shouldn't be an excuse to let it dissuade you from reaching your goals.
Agent : What happened?"
I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience.,sad,"Customer :Got rejected from a place I wanted to work, not once but three times 
Agent : I am sorry to hear that. I hope you find a better opportunity. Did you know why they rejected you?"
I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience.,sad,"Customer :What happened?
Agent : Got rejected from a place I wanted to work, not once but three times"
I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience.,sad,"Customer :I am sorry to hear that. I hope you find a better opportunity. Did you know why they rejected you?
Agent : Thanks, they gave me the same generic lines you always hear."
I had my entire house boarded up when the hurricane came.,prepared,"Customer :I had to board my entire house when the hurricane was coming.
Agent : WOW! Did it do any damage?"
I had my entire house boarded up when the hurricane came.,prepared,"Customer :No luckily the house was ok.
Agent : That is great. I would have been scared to death. Was it recent?"
I had my entire house boarded up when the hurricane came.,prepared,"Customer :WOW! Did it do any damage?
Agent : No luckily the house was ok."
"one time when I was in preschool, I had to write on the board. when I got up, my pants fell down in front of the class, that embarassed me",embarrassed,"Customer :Once when I was in preschool, my pants fell down in front of the whole class, I was so embarassed
Agent : haha yeah that would be very bad !"
"one time when I was in preschool, I had to write on the board. when I got up, my pants fell down in front of the class, that embarassed me",embarrassed,"Customer :It was, I almost cried cause everyone was laughing at me
Agent : Oh no , sorry to hear that happened to you :("
"one time when I was in preschool, I had to write on the board. when I got up, my pants fell down in front of the class, that embarassed me",embarrassed,"Customer :haha yeah that would be very bad !
Agent : It was, I almost cried cause everyone was laughing at me"
I am so upset and mad. I cant believe what has happened!,angry,"Customer :I never thought things would go like this.
Agent : What happened for you to feel that way?"
I am so upset and mad. I cant believe what has happened!,angry,"Customer :I was at the beach and a hurricane changed track and was coming straight at us. My boyfriend didnt want to leave because we were on the second day only of our vacation.
Agent : Oh that does sound terrible. What did you guys decide to do?"
I am so upset and mad. I cant believe what has happened!,angry,"Customer :What happened for you to feel that way?
Agent : I was at the beach and a hurricane changed track and was coming straight at us. My boyfriend didnt want to leave because we were on the second day only of our vacation."
I am so upset and mad. I cant believe what has happened!,angry,"Customer :Oh that does sound terrible. What did you guys decide to do?
Agent : Well we ended up leaving I was too scared to stay and was really upset."
Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,afraid,"Customer :What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.
Agent : That's very scary. I hope no one got hurt."
Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,afraid,"Customer :We were OK, though the tree broke through only a few feet away from my daughter.
Agent : So happy everyone was fine!! Everything else can be fixed."
Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,afraid,"Customer :Indeed. We were out of the house for five months while repairs were being done, but now the house is better than ever.
Agent : So good to hear. Might want to trim some trees lol"
Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,afraid,"Customer :That's very scary. I hope no one got hurt.
Agent : We were OK, though the tree broke through only a few feet away from my daughter."
Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,afraid,"Customer :So happy everyone was fine!! Everything else can be fixed.
Agent : Indeed. We were out of the house for five months while repairs were being done, but now the house is better than ever."
"Last week, I was watching the world cup, and watched croatia win from russia",excited,"Customer :So last week we were watching the world cup, and lo and behold, Croatia beat the host country, Russia
Agent : I saw that game. They won on penalty kicks!"
"Last week, I was watching the world cup, and watched croatia win from russia",excited,"Customer :Yes! Both countries were not about to let each other win
Agent : It was very tense. The other game with England and Sweden was not nearly as nerve-wracking."
"Last week, I was watching the world cup, and watched croatia win from russia",excited,"Customer :I saw that game. They won on penalty kicks!
Agent : Yes! Both countries were not about to let each other win"
"Last week, I was watching the world cup, and watched croatia win from russia",excited,"Customer :It was very tense. The other game with England and Sweden was not nearly as nerve-wracking.
Agent : You're right. I prefer nerve-wrecking matches. When both teams are great, the tension really builds."
I have someone always asking me questions about how to use mobile.,annoyed,"Customer :Hi, I have a co work always asking me questions about how to use her mobile. It is almost always the same questions.
Agent : It must be so frustrating to have to answer the same thing over and over. Is she older?"
I have someone always asking me questions about how to use mobile.,annoyed,"Customer :Yes, she is. She is telling that all the cell phone that she has been using have deleting her contacts.
Agent : My aunt does the same thing! I think what she is doing is accidentally deleting texts, and she doesn't understand how to check her contacts list. What do you think is happening with your co-worker?"
I have someone always asking me questions about how to use mobile.,annoyed,"Customer :It must be so frustrating to have to answer the same thing over and over. Is she older?
Agent : Yes, she is. She is telling that all the cell phone that she has been using have deleting her contacts."
"I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss.",angry,"Customer :I worked on my truck all weekend. Spent $215 on parts and a special tool. Still did not fix the miss in the engine.
Agent : What is the problem with the engine?"
"I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss.",angry,"Customer :It has a miss. Sometimes when you are driving it sputters and jerks and barely has any power. Other times it drives just fine. I have replaced so many things on it and nothing makes a difference for very long.
Agent : Sorry to hear that. I hope you find what is the problem with the engine."
"I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss.",angry,"Customer :What is the problem with the engine?
Agent : It has a miss. Sometimes when you are driving it sputters and jerks and barely has any power. Other times it drives just fine. I have replaced so many things on it and nothing makes a difference for very long."
"A few years ago, my marriage broke up, and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude, it took a while to get used to it.",lonely,"Customer :I found myself divorced a few years ago, and for the first time in my life, I was living alone.
Agent : I felt sad and depressed due to my insecurities and felt rejected from society"
"A few years ago, my marriage broke up, and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude, it took a while to get used to it.",lonely,"Customer :Yes, I felt that way for a while. But then I grew used to the solitude.
Agent : The problem is I don't think you can grew out of my specific insecurity."
"A few years ago, my marriage broke up, and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude, it took a while to get used to it.",lonely,"Customer :I felt sad and depressed due to my insecurities and felt rejected from society
Agent : Yes, I felt that way for a while. But then I grew used to the solitude."
I felt proud when I had accomplished a dream that I wanted to do for a long time.,proud,"Customer :I felt proud when I had accomplished a dream that I wanted to do for a long time. It was absailing!!
Agent : I'm not familiar with abseiling, but I'm glad that you felt good about it."
I felt proud when I had accomplished a dream that I wanted to do for a long time.,proud,"Customer :absailing, its when you rappeling down a building. What have you down that amazing?
Agent : Oh, I see. No, I've never done that."
I felt proud when I had accomplished a dream that I wanted to do for a long time.,proud,"Customer :I'm not familiar with abseiling, but I'm glad that you felt good about it.
Agent : absailing, its when you rappeling down a building. What have you down that amazing?"
I felt proud when I had accomplished a dream that I wanted to do for a long time.,proud,"Customer :Oh, I see. No, I've never done that.
Agent : so what have you done?"
When I spend time with my father outside by the fire when we are camping.,sentimental,"Customer :Hello
Agent : Hello! I am in such a good mood since I got my new home."
When I spend time with my father outside by the fire when we are camping.,sentimental,"Customer :Funny - we just built a house where we used to go camping when I was a kid. 
Agent : I have a ton of backyard space that we have plans for. Camping would be a fun one."
When I spend time with my father outside by the fire when we are camping.,sentimental,"Customer :That's wonderful. Do you have any plans to have a fire? 
Agent : I want to look in to getting a nice fire pit for the house."
When I spend time with my father outside by the fire when we are camping.,sentimental,"Customer :Hello! I am in such a good mood since I got my new home.
Agent : Funny - we just built a house where we used to go camping when I was a kid."
When I spend time with my father outside by the fire when we are camping.,sentimental,"Customer :I have a ton of backyard space that we have plans for. Camping would be a fun one.
Agent : That's wonderful. Do you have any plans to have a fire?"
I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,joyful,"Customer :Planning out my new home has turned out to be a blast!
Agent : What kind of house are you building?"
I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,joyful,"Customer :I just moved in so it is already built. Just working on planning out decorating and appliances and such.
Agent : That sounds great. What are you most excited for?"
I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,joyful,"Customer :What kind of house are you building? 
Agent : I just moved in so it is already built. Just working on planning out decorating and appliances and such."
I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,joyful,"Customer :That sounds great. What are you most excited for? 
Agent : I think I am most excited for all the space I have. I can have friends over and not feel cramped."
I went to a party and it was real bad.,ashamed,"Customer :I never took a drink before and my friends were all over me to take a drink
Agent : Why did you feel guilty for taking a drink?"
I went to a party and it was real bad.,ashamed,"Customer :It was not my thing and the moment I took I did wrong. Later in the night I started feeling bad.
Agent : I can understand. I am not a big drinker myself, but I wouldn't feel guilty about it.  Not unless you promised someone you wouldn't drink."
I went to a party and it was real bad.,ashamed,"Customer :Yeah I did to my mum and dad...When I started vomiting I mess my dress and mum knew. 
Agent : Oh yea I can understand that then... Well I am sure you learned your lesson, right?"
I went to a party and it was real bad.,ashamed,"Customer :Why did you feel guilty for taking a drink?
Agent : It was not my thing and the moment I took I did wrong. Later in the night I started feeling bad."
I went to a party and it was real bad.,ashamed,"Customer :I can understand. I am not a big drinker myself, but I wouldn't feel guilty about it.  Not unless you promised someone you wouldn't drink.
Agent : Yeah I did to my mum and dad...When I started vomiting I mess my dress and mum knew."
I went to a party and it was real bad.,ashamed,"Customer :Oh yea I can understand that then... Well I am sure you learned your lesson, right?
Agent : Yeah bad...anyway bye...Thanks for the chat."
After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.,guilty,"Customer :I was only married for 4 weeks when I learned my husband was having an affair and ongoing after the wedding. I got him back by sleeping with a close family friend. I felt guilty and ashamed because it was out of character.
Agent : Yeah that sounds really sad. I am sorry for what you went through."
After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.,guilty,"Customer :Well I choose to stay and work it out, but I never told him. It has been 3 years.
Agent : Yeah maybe that was a good decision that you made."
After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.,guilty,"Customer :Yeah that sounds really sad. I am sorry for what you went through. 
Agent : Well I choose to stay and work it out, but I never told him. It has been 3 years."
After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.,guilty,"Customer :Yeah maybe that was a good decision that you made. 
Agent : Well I thought I would be feel better but because I am not the cheating kind, I still feel guilty."
"when I was younger, my parents picked me up from work with a new car, which really surprised me, I was so excited to have my own car!",surprised,"Customer :When I was working my first job, my parents picked me up in my new car, I was very surprised, i thought I was gonna have to buy my own car
Agent : wow, that was so awesome of them!"
"when I was younger, my parents picked me up from work with a new car, which really surprised me, I was so excited to have my own car!",surprised,"Customer :Yeah it really was, I am still very thankful of them
Agent : I had to buy my first car and it wasn't until I was 21 that I could afford it."
"when I was younger, my parents picked me up from work with a new car, which really surprised me, I was so excited to have my own car!",surprised,"Customer :wow, that was so awesome of them!
Agent : Yeah it really was, I am still very thankful of them"
I get wistful remembering my high school days.,nostalgic,"Customer :I'm nearing 40 and I find myself thinking a lot about my teen years and early twenties. The friends I had then and the fun we had.
Agent : That is where I am still at, I am scared I will have regrets when I get older"
I get wistful remembering my high school days.,nostalgic,"Customer :I don'
Agent : That is good, I am glad you have no regrets!"
I get wistful remembering my high school days.,nostalgic,"Customer :That is where I am still at, I am scared I will have regrets when I get older
Agent : I don'"
"Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this, and it made me feel better about myself.",confident,"Customer :A year ago I spent a lot of time doing research for an article. Then a top journal accepted it for publication.
Agent : what was the topic"
"Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this, and it made me feel better about myself.",confident,"Customer :It was about the medieval poet Geoffrey Chaucer.
Agent : I'm not familiar with him where is he from"
"Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this, and it made me feel better about myself.",confident,"Customer :He was an English poet in the fourteenth century,
Agent : and how did you learn about him"
"Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this, and it made me feel better about myself.",confident,"Customer :what was the topic
Agent : It was about the medieval poet Geoffrey Chaucer."
"Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this, and it made me feel better about myself.",confident,"Customer :I'm not familiar with him where is he from
Agent : He was an English poet in the fourteenth century,"
I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,annoyed,"Customer :Do you have any irritating coworkers?
Agent : Yes, I think that everyone does! What about you?"
I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,annoyed,"Customer :yes a few that drive me nuts. the janitor is the worst
Agent : That's too bad. Our janitor is very friendly."
I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,annoyed,"Customer :Yes, I think that everyone does! What about you?
Agent : yes a few that drive me nuts. the janitor is the worst"
I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,annoyed,"Customer :That's too bad. Our janitor is very friendly.
Agent : she comes in my office smelling like smoke trying to chat it up rather than do her job."
I broke a statuette offered by grandmother to my sister.,guilty,"Customer :Hi, I broke a statuette offered by grandmother to my sister. It was a very important object for my sister.
Agent : Is it not better you replace it with same type of statuette,at a grocery store?"
I broke a statuette offered by grandmother to my sister.,guilty,"Customer :No, it is not possible. It is old statuette given by the mother of my grandmother.
Agent : The mother of your grand mother ,that means your great grand mother ! Well you can search through her archives"
I broke a statuette offered by grandmother to my sister.,guilty,"Customer :Is it not better you replace it with same type of statuette,at a grocery store?
Agent : No, it is not possible. It is old statuette given by the mother of my grandmother."
"I ordered for French fries ,bit was served burger,that pissed me off!",furious,"Customer :I could not tolerate the waiters insensitivity,that's poor service indeed!
Agent : What happened?"
"I ordered for French fries ,bit was served burger,that pissed me off!",furious,"Customer :Imagine ,I requested a French fries ,but was served burger instead!
Agent : It is very bad service. What did you do? Did you complain to the manager?"
"I ordered for French fries ,bit was served burger,that pissed me off!",furious,"Customer :What happened?
Agent : Imagine ,I requested a French fries ,but was served burger instead!"
"There was a situation where I might of hurt my freinds feelings, I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.",guilty,"Customer :I left his house, filled up with his food and disgust. I left his fridge completely empty and feel guilth
Agent : That would be hard to do and take courage."
"There was a situation where I might of hurt my freinds feelings, I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.",guilty,"Customer :Thanks man, at the heat of the moment I ate due to my flashbacks I was traumised.
Agent : I could see that happening but sounds like you were super brave."
"There was a situation where I might of hurt my freinds feelings, I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.",guilty,"Customer :That would be hard to do and take courage. 
Agent : Thanks man, at the heat of the moment I ate due to my flashbacks I was traumised."
"I was just on vacation in Biloxi. While hanging out on the balcony, I dropped some chips and then the balcony was swarmed by seagulls.",terrified,"Customer :Hi I was recently on vacation and frightened half to death.
Agent : Oh, my, what happened?"
"I was just on vacation in Biloxi. While hanging out on the balcony, I dropped some chips and then the balcony was swarmed by seagulls.",terrified,"Customer :I was eating some chips on the balcony. I dropped them and then was swarmed by seagulls.
Agent : I live near the ocean, so I do understand how this can be. I hope you ran, very quickly."
"I was just on vacation in Biloxi. While hanging out on the balcony, I dropped some chips and then the balcony was swarmed by seagulls.",terrified,"Customer :I went inside. I donr know how dangerous they are but I didnt want to fall 7 stories.
Agent : I heard a story of seagulls drowning a man to death."
"I was just on vacation in Biloxi. While hanging out on the balcony, I dropped some chips and then the balcony was swarmed by seagulls.",terrified,"Customer :Oh, my, what happened?
Agent : I was eating some chips on the balcony. I dropped them and then was swarmed by seagulls."
"I was just on vacation in Biloxi. While hanging out on the balcony, I dropped some chips and then the balcony was swarmed by seagulls.",terrified,"Customer :I live near the ocean, so I do understand how this can be. I hope you ran, very quickly.
Agent : I went inside. I donr know how dangerous they are but I didnt want to fall 7 stories."
"My mom took away my game system, and would not give it back ever again.",furious,"Customer :When i was younger, my mother would always take away my PC because I would always play video games on them.
Agent : I was the same way."
"My mom took away my game system, and would not give it back ever again.",furious,"Customer :Now that I am older though, my girlfriend tries to take away my Pc. Very rough days in my life.
Agent : Lol. I take away my daughters now. I guess my mom passed the torch."
"My mom took away my game system, and would not give it back ever again.",furious,"Customer :Stop doing that, it is very important to have a pc. The internet is the future and very many jobs are opening up online.
Agent : She is 13 not at 3am"
"My mom took away my game system, and would not give it back ever again.",furious,"Customer :I was the same way.
Agent : Now that I am older though, my girlfriend tries to take away my Pc. Very rough days in my life."
"My mom took away my game system, and would not give it back ever again.",furious,"Customer :Lol. I take away my daughters now. I guess my mom passed the torch.
Agent : Stop doing that, it is very important to have a pc. The internet is the future and very many jobs are opening up online."
"My mom took away my game system, and would not give it back ever again.",furious,"Customer :She is 13 not at 3am
Agent : I think at 3am the mind is truly it's sharpest and can make great content. I do understand the age thing though. Maybe slowly give her more time as she gets older. At 15 to 16 it gets hard to control all together."
One of my friend didn't keep this promise he made to me.,disappointed,"Customer :One of my friend didn't keep this promise he made to me. I was so angry to him.
Agent : What promise didn't he keep?"
One of my friend didn't keep this promise he made to me.,disappointed,"Customer :I was suppose to help me move from my apartment. He didn't come and turned off his cell phone.
Agent : Wow that sounds like a terrible friend.  I hope he had a good reason for not showing up."
One of my friend didn't keep this promise he made to me.,disappointed,"Customer :What promise didn't he keep?
Agent : I was suppose to help me move from my apartment. He didn't come and turned off his cell phone."
There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision.,faithful,"Customer :There were times where I was being seduced by a coworker of mine as a married man.
Agent : Wow. Did he have kids?"
There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision.,faithful,"Customer :I was the one who was being seduced as the married man.  Good thing I remained committed to my wife and did not cheat.
Agent : Ah ok. Good you stayed committed to your wife."
There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision.,faithful,"Customer :Wow. Did he have kids?
Agent : I was the one who was being seduced as the married man.  Good thing I remained committed to my wife and did not cheat."
"I look out for all my students, if they are struggling, I take however much time they need to understand.",caring,"Customer :I am an English Tutor for Chinese students, when they struggle with a topic, I always take extra time to help them along and make sure they understand
Agent : That is very inspiring, I'm glad you take the extra time. Do you like doing what you do?"
"I look out for all my students, if they are struggling, I take however much time they need to understand.",caring,"Customer :I like it very much, seeing a kid grasp a new concept and very quickly and finding effective ways to do it is a blast.
Agent : That is awesome, thanks for taking the time to help kids grasp a new language! You deserve to be appreciated, but I'm sure they appreciate you a lot."
"I look out for all my students, if they are struggling, I take however much time they need to understand.",caring,"Customer :That is very inspiring, I'm glad you take the extra time. Do you like doing what you do?
Agent : I like it very much, seeing a kid grasp a new concept and very quickly and finding effective ways to do it is a blast."
"I felt sad when my dog passed away. It was a pet that I had since I was 3 years old, and was one of the saddest days of my life.",sad,"Customer :Have you ever had a pet that you had to put down? I was so heartbroken when my dog of 16 years had to be put down. this was years ago but it still makes me sad to this day.
Agent : That is heartbreaking, it's always helped me to remember that no matter what happens, you have your memories with them."
"I felt sad when my dog passed away. It was a pet that I had since I was 3 years old, and was one of the saddest days of my life.",sad,"Customer :That is true, we got her when I was 3 years old so I kind of grew up with her, I'll never forget those memories.
Agent : Absolutely, it's a chapter of your life and as long as you have those memories they live on through those memories."
"I felt sad when my dog passed away. It was a pet that I had since I was 3 years old, and was one of the saddest days of my life.",sad,"Customer :That is heartbreaking, it's always helped me to remember that no matter what happens, you have your memories with them.
Agent : That is true, we got her when I was 3 years old so I kind of grew up with her, I'll never forget those memories."
"Yesterday, I was really craving Dairy Queen. So, I got in my car and went to grab some Blizzards. When I got there, they were closed.",disappointed,"Customer :I drove to Dairy Queen but it was closed. 
Agent : I'm sorry to hear that.  That must have been frustrating."
"Yesterday, I was really craving Dairy Queen. So, I got in my car and went to grab some Blizzards. When I got there, they were closed.",disappointed,"Customer :I just really wanted some ice cream! Now I know their hours, though.
Agent : Hopefully you were able to get the ice cream that you wanted in the following days."
"Yesterday, I was really craving Dairy Queen. So, I got in my car and went to grab some Blizzards. When I got there, they were closed.",disappointed,"Customer :I'm sorry to hear that.  That must have been frustrating.
Agent : I just really wanted some ice cream! Now I know their hours, though."
A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me.,grateful,"Customer :One time I had a flat tire and my dad came to help me fix it.
Agent : Oh no! Glad your dad was able to help. How did it happen?"
A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me.,grateful,"Customer :I ran over a nail in the road.  Now I know not to drive near new houses.
Agent : That's some bad luck. I hope it wasn't too much of a hassle."
A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me.,grateful,"Customer :Oh no! Glad your dad was able to help. How did it happen?
Agent : I ran over a nail in the road.  Now I know not to drive near new houses."
Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,sentimental,"Customer :My kid's birthday are coming up again. It always makes me remember them as babies.
Agent : Awe how sweet, I bet those are good memories"
